utc,open,close,high,low,volume
2023-10-17T17:30:00.000000,0.94,0.93,0.94,0.92,2377
2023-10-17T17:40:00.000000,0.93,0.93,0.94,0.93,4482
2023-10-17T17:50:00.000000,0.94,0.95,0.96,0.93,21490
2023-10-17T18:00:00.000000,0.95,0.95,0.96,0.94,4337
2023-10-17T18:10:00.000000,0.95,0.94,0.95,0.94,1715
2023-10-17T18:20:00.000000,0.94,0.92,0.95,0.87,6685
2023-10-17T18:30:00.000000,0.94,0.92,0.94,0.91,761
2023-10-17T18:40:00.000000,0.93,0.92,0.93,0.92,817
2023-10-17T18:50:00.000000,0.92,0.93,0.93,0.92,4660
2023-10-17T19:00:00.000000,0.92,0.92,0.92,0.92,487
2023-10-17T19:10:00.000000,0.93,0.93,0.93,0.92,66
2023-10-17T19:20:00.000000,0.93,0.93,0.94,0.92,11537
2023-10-17T19:30:00.000000,0.93,0.93,0.94,0.93,4101
2023-10-17T19:40:00.000000,0.93,0.92,0.93,0.92,7997
2023-10-17T19:50:00.000000,0.93,0.93,0.93,0.92,11195
